observable,rapidity,state,bin_label,x,bak,bak_stat,gwak,gwak_stat,bak_over_gwak,bak_over_gwak_stat
pT,mid,PR,6.5-9.0,7.75,0.338361,0.00844445,0.337,0.0024,1.00404,0.026058
pT,mid,PR,9.0-12.0,10.5,0.295867,0.00203912,0.296,0.0021,0.999551,0.00988662
pT,mid,PR,12.0-15.0,13.5,0.308377,0.00328633,0.308,0.0034,1.00122,0.0153624
pT,mid,PR,15.0-20.0,17.5,0.330649,0.00483809,0.331,0.005,0.998939,0.0210082
pT,mid,PR,20.0-25.0,22.5,0.388246,0.0103322,0.388,0.0108,1.00063,0.0385344
pT,mid,PR,25.0-40.0,32.5,0.430118,0.0150705,0.43,0.0159,1.00027,0.0509545
pT,mid,NP,6.5-9.0,7.75,0.411018,0.0253066,0.409,0.0048,1.00493,0.0629884
pT,mid,NP,9.0-12.0,10.5,0.384373,0.00346587,0.384,0.0034,1.00097,0.0126496
pT,mid,NP,12.0-15.0,13.5,0.377047,0.00449948,0.377,0.0046,1.00013,0.0170692
pT,mid,NP,15.0-20.0,17.5,0.400356,0.00562756,0.4,0.0057,1.00089,0.0200339
pT,mid,NP,20.0-25.0,22.5,0.414258,0.0098539,0.414,0.0101,1.00062,0.0340945
pT,mid,NP,25.0-40.0,32.5,0.452526,0.0128588,0.452,0.0132,1.00116,0.0407942
pT,fwd,PR,3.5-6.5,5,0.454873,0.00356702,0.45,0.0033,1.01083,0.0108527
pT,fwd,PR,6.5-9.0,7.75,0.298011,0.0020936,0.298,0.0023,1.00004,0.010437
pT,fwd,PR,9.0-12.0,10.5,0.295961,0.00298253,0.296,0.0032,0.999867,0.0147774
pT,fwd,PR,12.0-40.0,26,0.332658,0.00532574,0.332,0.0048,1.00198,0.0216144
pT,fwd,NP,3.5-6.5,5,0.431137,0.004915,0.43,0.0077,1.00264,0.021284
pT,fwd,NP,6.5-9.0,7.75,0.342968,0.00383396,0.343,0.0046,0.999907,0.0174575
pT,fwd,NP,9.0-12.0,10.5,0.339124,0.0047773,0.339,0.0052,1.00037,0.0208341
pT,fwd,NP,12.0-40.0,26,0.372978,0.00650852,0.372,0.006,1.00263,0.0238249
Npart,mid,PR,50-90,27.12,0.654454,0.0119744,0.652,0.0087,1.00376,0.0227308
Npart,mid,PR,40-50,87.19,0.580893,0.00735809,0.579,0.0081,1.00327,0.0189339
Npart,mid,PR,30-40,131,0.512661,0.00526546,0.51,0.0057,1.00522,0.0152583
Npart,mid,PR,20-30,188.2,0.427177,0.00397561,0.426,0.0043,1.00276,0.0137675
Npart,mid,PR,10-20,262.3,0.353247,0.00334431,0.352,0.0035,1.00354,0.0137781
Npart,mid,PR,0-10,356.9,0.274641,0.00256614,0.273,0.0029,1.00601,0.0142323
Npart,mid,NP,50-90,27.12,0.810517,0.0230466,0.806,0.0109,1.0056,0.031663
Npart,mid,NP,40-50,87.19,0.73542,0.0122227,0.731,0.0102,1.00605,0.021832
Npart,mid,NP,30-40,131,0.646369,0.00873811,0.642,0.0076,1.00681,0.0180916
Npart,mid,NP,20-30,188.2,0.557811,0.00667744,0.555,0.0058,1.00507,0.0159711
Npart,mid,NP,10-20,262.3,0.499006,0.00571848,0.496,0.0049,1.00606,0.0152218
Npart,mid,NP,0-10,356.9,0.413154,0.00459565,0.411,0.0042,1.00524,0.015184
Npart,fwd,PR,50-90,27.12,0.773072,0.00916611,0.766,0.0059,1.00923,0.0142694
Npart,fwd,PR,30-50,109.1,0.645555,0.00533014,0.64,0.0038,1.00868,0.0102582
Npart,fwd,PR,10-30,225.2,0.516516,0.00395291,0.512,0.0028,1.00882,0.00948913
Npart,fwd,PR,0-10,356.9,0.420851,0.00534241,0.417,0.004,1.00924,0.0160579
Npart,fwd,NP,50-90,27.12,0.854385,0.0164966,0.854,0.0146,1.00045,0.0258008
Npart,fwd,NP,30-50,109.1,0.707431,0.0087882,0.708,0.0092,0.999196,0.0179627
Npart,fwd,NP,10-30,225.2,0.526207,0.00555474,0.526,0.0069,1.00039,0.0168444
Npart,fwd,NP,0-10,356.9,0.416271,0.00675181,0.416,0.0103,1.00065,0.0296186
