observable,state,bin,bak_raa,gwak_header_raa,bak_over_gwak_raa,raa_diff_pct,gwak_acc_pp,gwak_acc_pbpb,bak_acc_pp,bak_acc_pbpb,acc_only_ratio,gwak_eff_pp,gwak_eff_pbpb,bak_eff_pp,bak_eff_pbpb,acc_eff_ratio,residual_after_acc_pct,residual_after_acc_eff_pct
mid_pt,PR,6.5-9.0,0.319007710,0.337000000,0.946610415,-5.338958460,0.155559672,0.144328438,0.159267788,0.156733633,0.942802318,0.548411189,0.266107941,0.550451225,0.266126247,0.946244356,0.403912607,0.038685536
mid_pt,PR,9.0-12.0,0.292638123,0.296000000,0.988642306,-1.135769394,0.366513323,0.360181178,0.366124255,0.363768701,0.989086828,0.688179930,0.477057857,0.687966669,0.476802814,0.989309219,-0.044942640,-0.067412024
mid_pt,PR,12.0-15.0,0.307534810,0.308000000,0.998489644,-0.151035623,0.504553390,0.500990498,0.504332187,0.502142108,0.997269199,0.751560657,0.565702169,0.751518726,0.565813072,0.997018099,0.122378701,0.147594553
mid_pt,PR,15.0-20.0,0.329805122,0.331000000,0.996390096,-0.360990442,0.599496238,0.592761707,0.599601308,0.594382188,0.997448457,0.775060937,0.593342060,0.775064213,0.593489652,0.997204621,-0.106106886,-0.081680856
mid_pt,PR,20.0-25.0,0.387969816,0.388000000,0.999922207,-0.007779302,0.716390364,0.714661739,0.716684133,0.715464292,0.999287886,0.776181611,0.599492226,0.776085997,0.599149690,0.999736015,0.063477305,0.018624115
mid_pt,PR,25.0-40.0,0.429209134,0.430000000,0.998160777,-0.183922284,0.733369479,0.732423928,0.734043698,0.734649339,0.997887344,0.772853398,0.608747122,0.772375685,0.608734425,0.997291334,0.027401173,0.087180419
mid_pt,NP,6.5-9.0,0.386656651,0.409000000,0.945370784,-5.462921619,0.170139574,0.158502131,0.173638046,0.171952939,0.940730121,0.583240402,0.260390879,0.585247166,0.260254771,0.944460581,0.493304324,0.096372808
mid_pt,NP,9.0-12.0,0.379596314,0.384000000,0.988532069,-1.146793125,0.383762078,0.376245752,0.384262884,0.381477203,0.987573427,0.707981011,0.463580448,0.708190947,0.463289973,0.988485646,0.097070457,0.004696338
mid_pt,NP,12.0-15.0,0.376317039,0.377000000,0.998188433,-0.181156671,0.529159578,0.526894468,0.529022917,0.527780738,0.998062935,0.759559989,0.549396265,0.759512475,0.549559985,0.997703187,0.012574232,0.048636380
mid_pt,NP,15.0-20.0,0.399719127,0.400000000,0.999297817,-0.070218321,0.633113157,0.630072666,0.632713707,0.630678948,0.998408362,0.785816303,0.573035740,0.785779595,0.573069070,0.998303657,0.089087309,0.099584861
mid_pt,NP,20.0-25.0,0.413724641,0.414000000,0.999334881,-0.066511919,0.720689459,0.718352820,0.720323713,0.718913017,0.998713673,0.793474755,0.582156418,0.793451646,0.581791451,0.999311077,0.062200786,0.002382002
