case_tag,source_tag,binning_tag,fit_mode,state,rapidity,source_file,output_file,n_weight_bins
local260505_2exp_nominal_linear,local260505_2exp,nominal,linear,prompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_nominal_linear/ratioDataMC_AA_Jpsi_DATA_mid.root,7
local260505_2exp_nominal_poly2,local260505_2exp,nominal,poly2,prompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_nominal_poly2/ratioDataMC_AA_Jpsi_DATA_mid.root,7
local260505_2exp_nominal_expoConst,local260505_2exp,nominal,expoConst,prompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_nominal_expoConst/ratioDataMC_AA_Jpsi_DATA_mid.root,7
local260505_2exp_nominal_doubleExp,local260505_2exp,nominal,doubleExp,prompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_nominal_doubleExp/ratioDataMC_AA_Jpsi_DATA_mid.root,7
local260505_2exp_mergeLow_linear,local260505_2exp,mergeLow,linear,prompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_mergeLow_linear/ratioDataMC_AA_Jpsi_DATA_mid.root,6
local260505_2exp_mergeLow_poly2,local260505_2exp,mergeLow,poly2,prompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_mergeLow_poly2/ratioDataMC_AA_Jpsi_DATA_mid.root,6
local260505_2exp_mergeLow_expoConst,local260505_2exp,mergeLow,expoConst,prompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_mergeLow_expoConst/ratioDataMC_AA_Jpsi_DATA_mid.root,6
local260505_2exp_mergeLow_doubleExp,local260505_2exp,mergeLow,doubleExp,prompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_mergeLow_doubleExp/ratioDataMC_AA_Jpsi_DATA_mid.root,6
local260505_2exp_mergeHigh_linear,local260505_2exp,mergeHigh,linear,prompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_mergeHigh_linear/ratioDataMC_AA_Jpsi_DATA_mid.root,6
local260505_2exp_mergeHigh_poly2,local260505_2exp,mergeHigh,poly2,prompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_mergeHigh_poly2/ratioDataMC_AA_Jpsi_DATA_mid.root,6
local260505_2exp_mergeHigh_expoConst,local260505_2exp,mergeHigh,expoConst,prompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_mergeHigh_expoConst/ratioDataMC_AA_Jpsi_DATA_mid.root,6
local260505_2exp_mergeHigh_doubleExp,local260505_2exp,mergeHigh,doubleExp,prompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_mergeHigh_doubleExp/ratioDataMC_AA_Jpsi_DATA_mid.root,6
local260505_2exp_mergeLowHigh_linear,local260505_2exp,mergeLowHigh,linear,prompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_mergeLowHigh_linear/ratioDataMC_AA_Jpsi_DATA_mid.root,5
local260505_2exp_mergeLowHigh_poly2,local260505_2exp,mergeLowHigh,poly2,prompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_mergeLowHigh_poly2/ratioDataMC_AA_Jpsi_DATA_mid.root,5
