source_tag,mode,state,rapidity,source_file,output_file
local260505_2exp,sourceFunc,prompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_candidates_260508/local260505_2exp_sourceFunc/ratioDataMC_AA_Jpsi_DATA_mid.root
local260505_2exp,sourceFunc,prompt,fwd,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y1p6_2p4_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_candidates_260508/local260505_2exp_sourceFunc/ratioDataMC_AA_Jpsi_DATA_fwd.root
local260505_2exp,sourceFunc,nonprompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_BtoJpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_candidates_260508/local260505_2exp_sourceFunc/ratioDataMC_AA_BtoJpsi_DATA_mid.root
local260505_2exp,sourceFunc,nonprompt,fwd,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_BtoJpsi_DATA_y1p6_2p4_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_candidates_260508/local260505_2exp_sourceFunc/ratioDataMC_AA_BtoJpsi_DATA_fwd.root
local260505_2exp,doubleExp,prompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_candidates_260508/local260505_2exp_doubleExp/ratioDataMC_AA_Jpsi_DATA_mid.root
local260505_2exp,doubleExp,prompt,fwd,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y1p6_2p4_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_candidates_260508/local260505_2exp_doubleExp/ratioDataMC_AA_Jpsi_DATA_fwd.root
local260505_2exp,doubleExp,nonprompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_BtoJpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_candidates_260508/local260505_2exp_doubleExp/ratioDataMC_AA_BtoJpsi_DATA_mid.root
local260505_2exp,doubleExp,nonprompt,fwd,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_BtoJpsi_DATA_y1p6_2p4_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_candidates_260508/local260505_2exp_doubleExp/ratioDataMC_AA_BtoJpsi_DATA_fwd.root
local260505_2exp,poly3Pole,prompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_candidates_260508/local260505_2exp_poly3Pole/ratioDataMC_AA_Jpsi_DATA_mid.root
local260505_2exp,poly3Pole,prompt,fwd,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y1p6_2p4_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_candidates_260508/local260505_2exp_poly3Pole/ratioDataMC_AA_Jpsi_DATA_fwd.root
local260505_2exp,poly3Pole,nonprompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_BtoJpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_candidates_260508/local260505_2exp_poly3Pole/ratioDataMC_AA_BtoJpsi_DATA_mid.root
local260505_2exp,poly3Pole,nonprompt,fwd,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_BtoJpsi_DATA_y1p6_2p4_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_candidates_260508/local260505_2exp_poly3Pole/ratioDataMC_AA_BtoJpsi_DATA_fwd.root
ctau260310_2exp_y024,sourceFunc,prompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_ctauCut_y0_2p4_260310_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_candidates_260508/ctau260310_2exp_y024_sourceFunc/ratioDataMC_AA_Jpsi_DATA_mid.root
