component,rapidity,bin,pt_low,pt_high,x,current_raa,hin_target,required_pp_aeff_scale,used_pt_weight_corr
prompt,mid,1,6.5,9,7.75,0.3282315249,0.3529999852,1.075460333,1.075460333
prompt,mid,2,9,12,10.5,0.292340398,0.3370000124,1.152765799,1.152765799
prompt,mid,3,12,15,13.5,0.3080276429,0.3659999967,1.188205036,1.188205036
prompt,mid,4,15,20,17.5,0.3303636248,0.3560000062,1.077600497,1.077600497
prompt,mid,5,20,25,22.5,0.3880122074,0.47299999,1.219033785,1.219033785
prompt,mid,6,25,40,32.5,0.4300808134,0.47299999,1.099793284,1.099793284
prompt,fwd,1,3.5,6.5,5,0.4246039605,0.4699999988,1.106913836,1.106913836
prompt,fwd,2,6.5,9,7.75,0.2960971788,0.3289999962,1.111121685,1.111121685
prompt,fwd,3,9,12,10.5,0.2957628772,0.3289999962,1.112377589,1.112377589
prompt,fwd,4,12,40,26,0.3285589202,0.34799999,1.059170726,1.059170726
nonprompt,mid,1,6.5,9,7.75,0.4026782562,0.476000011,1.18208521,1.18208521
nonprompt,mid,2,9,12,10.5,0.3819880801,0.4664594575,1.221136161,1.221136161
nonprompt,mid,3,12,15,13.5,0.3769509102,0.4659999907,1.236235218,1.236235218
nonprompt,mid,4,15,20,17.5,0.4003419023,0.4560000002,1.139026411,1.139026411
nonprompt,mid,5,20,25,22.5,0.4141914154,0.4939999878,1.19268524,1.19268524
nonprompt,mid,6,25,40,32.5,0.4577760959,0.4939999878,1.079130152,1.079130152
nonprompt,fwd,1,3.5,6.5,5,0.5068193841,0.5899420279,1.164008415,1.164008415
nonprompt,fwd,2,6.5,9,7.75,0.3409171315,0.5294999927,1.553163346,1.553163346
nonprompt,fwd,3,9,12,10.5,0.338866906,0.4060425013,1.198235927,1.198235927
nonprompt,fwd,4,12,40,26,0.3712323336,0.3991697121,1.075255779,1.075255779
